product_id,category,product_name,product_type,image_url,barcode,price_jd,stock_quantity,minimum_stock,health_tags,supplier_id
1,Frozen foods,Nabil Pizza Chicken 400 Gram,Frozen pizza,/images/products/nabil-pizza-chicken-400g.jpg,614256845007,2.49,23,15,"gluten,high_sodium,meat,not_vegan",Frozen Food Hub
2,Frozen foods,Dr.Oetker Pizza Quatro Cheese 340 Gram,Frozen pizza,/images/products/Dr.Oetker-Pizza-Quatro-Cheese 340g.png,4001724818908,3.59,36,15,"gluten,high_sodium,dairy,not_vegan",Frozen Food Hub
3,Frozen foods,Dr.Oetker Pizza Mozerella 335 Gram,Frozen pizza,/images/products/Dr.Oetker-Pizza-Mozerella-335g.png,4001724818907,3.59,49,15,"gluten,high_sodium,dairy,not_vegan",Frozen Food Hub
4,Frozen foods,"Americana Crinkle Fries, 1 kg",Frozen fries,/images/products/Americana-Crinkle-Fries-1kg.jpg,6253005380156,1.9,16,15,vegan,Frozen Food Hub
5,Frozen foods,"Sunbulah Spiced Potato Wedges, 750g",Frozen fries,/images/products/Sunbulah-Spiced-Potato-Wedges-750g.jpg,2000000000005,2.5,29,15,vegan,Frozen Food Hub
6,Frozen foods,"Lamb Weston Potato Wedges, 750g",Frozen fries,/images/products/Lamb-Weston-Potato-Wedges-750g.jpg,2000000000006,3,42,15,vegan,Frozen Food Hub
7,Frozen foods,Nabil French Fries 900 g,Frozen fries,/images/products/Nabil-French-Fries-900g.jpg,2000000000007,1.85,55,15,vegan,Frozen Food Hub
8,Frozen foods,"Nabil Crispy Chicken Nuggets, 900g",Poultry,/images/products/Nabil-Crispy-Chicken-Nuggets-900g.jpg,2000000000008,4.05,22,15,"high_sodium,meat,not_vegan",Frozen Food Hub
9,Frozen foods,Nabil Chicken Burger 25 pcs 1.875 kg,Poultry,/images/products/Nabil-Chicken-Burger-25pcs-1.875 kg.jpg,2000000000009,7.39,35,15,"high_sodium,meat,not_vegan",Frozen Food Hub
10,Frozen foods,"Nabil Beef Burger Bag, 20 Pieces, 900g",Poultry,/images/products/Nabil-Beef-Burger-Bag-20Pieces-900g.jpg,2000000000010,4.55,48,15,"high_sodium,meat,not_vegan",Frozen Food Hub
11,Frozen foods,"Siniora Spicy Chicken Fillet, 900g",Poultry,/images/products/Siniora-Spicy-Chicken-Fillet-900g.jpg,2000000000011,4,15,15,"meat,not_vegan",Frozen Food Hub
12,Frozen foods,"Siniora Chicken Pops, 900g",Poultry,/images/products/Siniora-Chicken-Pops-900g.jpg,2000000000012,3.9,28,15,"meat,not_vegan",Frozen Food Hub
13,Frozen foods,Wadi Kubba Burgul 900 g,Poultry,/images/products/Wadi-Kubba-Burgul-900g.jpg,2000000000013,4.29,41,15,vegan,Frozen Food Hub
14,Frozen foods,Americana Beef Hot Dog,Poultry,/images/products/Americana-Beef-Hot-Dog-450g.jpg,2000000000014,3.39,54,15,"high_sodium,meat,not_vegan",Frozen Food Hub
15,Frozen foods,"Americana AlSayyad White Fish Fillet, 1kg",seafood,/images/products/Americana-AlSayyad-White-Fish-Fillet-1kg.jpg,2000000000015,4.09,21,15,"fish,not_vegan",Frozen Food Hub
16,Frozen foods,Ocean Cooked Shrimp Medium Size 1 kg,seafood,/images/products/Ocean-Cooked-Shrimp-Medium-Size-1kg.jpg,2000000000016,21.09,34,15,"fish,not_vegan",Frozen Food Hub
17,Frozen foods,Nabil Premium Beef Kabab 400 g,meat,/images/products/Nabil-Premium-Beef-Kabab-400g.jpg,2000000000017,4.49,47,15,"meat,not_vegan",Frozen Food Hub
18,Frozen foods,"Nabil Fine Minced Beef, 400g",meat,/images/products/Nabil-Fine-Minced-Beef-400g.jpg,2000000000018,1.45,14,15,"meat,not_vegan",Frozen Food Hub
19,Frozen foods,Americana Spinach 400 g,Fruit And Veg,/images/products/Americana-Spinach-400g.jpg,2000000000019,0.85,27,15,vegan,Frozen Food Hub
20,Frozen foods,Americana Peas & Carrots Frozen 400 g,Fruit And Veg,/images/products/Americana-Peas-&-Carrots-Froze-400g.jpg,2000000000020,0.59,40,15,vegan,Frozen Food Hub
21,Frozen foods,Americana Okra Zero Frozen 400 g,Fruit And Veg,/images/products/Americana-Okra-Zero-Frozen-400g.jpg,2000000000021,2.9,53,15,vegan,Frozen Food Hub
22,Frozen foods,"Hy Top Garden Peas, 400g",Fruit And Veg,/images/products/Hy-Top-Garden-Peas-400g.jpg,2000000000022,0.92,20,15,vegan,Frozen Food Hub
23,Frozen foods,Sahtain Crispy Chicken Fillet 900 g,Poultry,/images/products/Sahtain Crispy Chicken Fillet 900 g.jpg,2000000000023,3.7,33,15,"meat,not_vegan",Frozen Food Hub
